ETHUSDT: bestBid 1595.52, bestBitQuantity 17.804, bestAsk 1595.53, bestAskQuantity 1.010, eventTime 1673981445802, localTimestamp 1673981446105, totalLatency 303
ETHUSDT: bestBid 1595.52, bestBitQuantity 17.804, bestAsk 1595.53, bestAskQuantity 1.000, eventTime 1673981445803, localTimestamp 1673981446105, totalLatency 302
ETHUSDT: bestBid 1595.52, bestBitQuantity 42.513, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445806, localTimestamp 1673981446105, totalLatency 299
ETHUSDT: bestBid 1595.52, bestBitQuantity 53.896, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446106, totalLatency 299
ETHUSDT: bestBid 1595.52, bestBitQuantity 56.902, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446107, totalLatency 300
ETHUSDT: bestBid 1595.52, bestBitQuantity 59.909, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446107, totalLatency 300
ETHUSDT: bestBid 1595.52, bestBitQuantity 68.942, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446107, totalLatency 300
ETHUSDT: bestBid 1595.52, bestBitQuantity 79.784, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446108, totalLatency 301
ETHUSDT: bestBid 1595.52, bestBitQuantity 82.789, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446115, totalLatency 308
ETHUSDT: bestBid 1595.52, bestBitQuantity 82.836, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445807, localTimestamp 1673981446131, totalLatency 324
ETHUSDT: bestBid 1595.52, bestBitQuantity 85.840, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445809, localTimestamp 1673981446132, totalLatency 323
ETHUSDT: bestBid 1595.52, bestBitQuantity 88.435, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445809, localTimestamp 1673981446133, totalLatency 324
ETHUSDT: bestBid 1595.52, bestBitQuantity 88.835, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445811, localTimestamp 1673981446133, totalLatency 322
ETHUSDT: bestBid 1595.52, bestBitQuantity 83.067, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445811, localTimestamp 1673981446134, totalLatency 323
ETHUSDT: bestBid 1595.52, bestBitQuantity 83.707, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445811, localTimestamp 1673981446135, totalLatency 324
ETHUSDT: bestBid 1595.52, bestBitQuantity 92.389, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445812, localTimestamp 1673981446136, totalLatency 324
ETHUSDT: bestBid 1595.52, bestBitQuantity 88.877, bestAsk 1595.53, bestAskQuantity 0.996, eventTime 1673981445813, localTimestamp 1673981446136, totalLatency 323
ETHUSDT: bestBid 1595.52, bestBitQuantity 88.877, bestAsk 1595.53, bestAskQuantity 7.263, eventTime 1673981445815, localTimestamp 1673981446137, totalLatency 322
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.748, eventTime 1673981445817, localTimestamp 1673981446137, totalLatency 320
ETHUSDT: bestBid 1595.52, bestBitQuantity 83.112, bestAsk 1595.53, bestAskQuantity 7.263, eventTime 1673981445819, localTimestamp 1673981446137, totalLatency 318
ETHUSDT: bestBid 1595.52, bestBitQuantity 83.243, bestAsk 1595.53, bestAskQuantity 7.263, eventTime 1673981445819, localTimestamp 1673981446137, totalLatency 318
ETHUSDT: bestBid 1595.52, bestBitQuantity 74.561, bestAsk 1595.53, bestAskQuantity 7.263, eventTime 1673981445819, localTimestamp 1673981446138, totalLatency 319
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445821, localTimestamp 1673981446138, totalLatency 317
ETHUSDT: bestBid 1595.52, bestBitQuantity 74.561, bestAsk 1595.53, bestAskQuantity 21.081, eventTime 1673981445823, localTimestamp 1673981446138, totalLatency 315
ETHUSDT: bestBid 1595.52, bestBitQuantity 71.966, bestAsk 1595.53, bestAskQuantity 21.081, eventTime 1673981445824, localTimestamp 1673981446139, totalLatency 315
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.748, eventTime 1673981445826, localTimestamp 1673981446139, totalLatency 313
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445827, localTimestamp 1673981446140, totalLatency 313
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.619, eventTime 1673981445831, localTimestamp 1673981446141, totalLatency 310
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.753, eventTime 1673981445842, localTimestamp 1673981446141, totalLatency 299
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.619, eventTime 1673981445849, localTimestamp 1673981446141, totalLatency 292
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445851, localTimestamp 1673981446142, totalLatency 291
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.748, eventTime 1673981445855, localTimestamp 1673981446142, totalLatency 287
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445860, localTimestamp 1673981446143, totalLatency 283
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.748, eventTime 1673981445867, localTimestamp 1673981446144, totalLatency 277
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445875, localTimestamp 1673981446144, totalLatency 269
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.615, eventTime 1673981445880, localTimestamp 1673981446145, totalLatency 265
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.749, eventTime 1673981445881, localTimestamp 1673981446146, totalLatency 265
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.615, eventTime 1673981445882, localTimestamp 1673981446146, totalLatency 264
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.749, eventTime 1673981445895, localTimestamp 1673981446147, totalLatency 252
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.750, eventTime 1673981445895, localTimestamp 1673981446147, totalLatency 252
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.750, eventTime 1673981445895, localTimestamp 1673981446147, totalLatency 252
ETHUSDT: bestBid 1595.52, bestBitQuantity 72.257, bestAsk 1595.53, bestAskQuantity 21.081, eventTime 1673981445895, localTimestamp 1673981446148, totalLatency 253
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.616, eventTime 1673981445896, localTimestamp 1673981446148, totalLatency 252
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.750, eventTime 1673981445902, localTimestamp 1673981446148, totalLatency 246
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.616, eventTime 1673981445902, localTimestamp 1673981446148, totalLatency 246
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.621, eventTime 1673981445904, localTimestamp 1673981446148, totalLatency 244
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.755, eventTime 1673981445915, localTimestamp 1673981446149, totalLatency 234
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.621, eventTime 1673981445921, localTimestamp 1673981446149, totalLatency 228
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.755, eventTime 1673981445927, localTimestamp 1673981446149, totalLatency 222
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.212, bestAsk 21354.70, bestAskQuantity 21.621, eventTime 1673981445928, localTimestamp 1673981446151, totalLatency 223
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.621, eventTime 1673981445933, localTimestamp 1673981446151, totalLatency 218
ETHUSDT: bestBid 1595.52, bestBitQuantity 72.257, bestAsk 1595.53, bestAskQuantity 21.039, eventTime 1673981445935, localTimestamp 1673981446151, totalLatency 216
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.755, eventTime 1673981445937, localTimestamp 1673981446152, totalLatency 215
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.621, eventTime 1673981445938, localTimestamp 1673981446152, totalLatency 214
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.755, eventTime 1673981445949, localTimestamp 1673981446152, totalLatency 203
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.718, eventTime 1673981445951, localTimestamp 1673981446153, totalLatency 202
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.629, eventTime 1673981445951, localTimestamp 1673981446154, totalLatency 203
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.112, eventTime 1673981445958, localTimestamp 1673981446154, totalLatency 196
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.177, eventTime 1673981445959, localTimestamp 1673981446154, totalLatency 195
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.242, eventTime 1673981445959, localTimestamp 1673981446154, totalLatency 195
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.307, eventTime 1673981445959, localTimestamp 1673981446155, totalLatency 196
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 9.577, eventTime 1673981445961, localTimestamp 1673981446159, totalLatency 198
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 9.642, eventTime 1673981445962, localTimestamp 1673981446159, totalLatency 197
BTCUSDT: bestBid 21354.30, bestBitQuantity 0.065, bestAsk 21354.40, bestAskQuantity 10.842, eventTime 1673981445962, localTimestamp 1673981446160, totalLatency 198
